citing,papers_omid_for_citing,cited,papers_omid_for_cited
br/061303451229,,br/06802910346,br/06802910346
br/061303451229,,br/06902915626,br/06902915626
br/061303451229,,br/061502990044,br/061502990044
br/061303451229,,br/061202495254,br/061202495254
br/061303451229,,br/06902522077,br/06902522077
br/061303451229,,br/06201938776,br/06201938776
br/061303451229,,br/062503138636,br/062503138636
br/061303451229,,br/06803303029,br/06803303029
br/061303451229,,br/06803302505,br/06803302505
br/061303451229,,br/06801939349,br/06801939349
br/061303451229,,br/062202938515,br/062202938515
br/061303451229,,br/062202938488,br/062202938488
br/061303451229,,br/06902522032,br/06902522032
br/061303451229,,br/06103645667,br/06103645667
br/061303451229,,br/06201938867,br/06201938867
br/061303451229,,br/062202937944,br/062202937944
br/061303451229,,br/06202880581,br/06202880581
br/061303451229,,br/061502990271,br/061502990271
br/061303451228,,br/062202938447,br/062202938447
br/061303451228,,br/06202880325,br/06202880325
br/061303451228,,br/062503170454,br/062503170454
br/061303451228,,br/061303331587,br/061303331587
br/061303451228,,br/062102462143,br/062102462143
br/061303451228,,br/062503170354,br/062503170354
br/061303451228,,br/061502990326,br/061502990326
br/061303451228,,br/061403129077,br/061403129077
br/061303451228,,br/061202495360,br/061202495360
br/061303451228,,br/06803303310,br/06803303310
br/061303451228,,br/062202938363,br/062202938363
br/061303451228,,br/061403326097,br/061403326097
br/061303451230,,br/06201938866,br/06201938866
br/061303451232,,br/061502990153,br/061502990153
br/061303451232,,br/06803303336,br/06803303336
br/061303451232,,br/062102462314,br/062102462314
br/061303451232,,br/06102894995,br/06102894995
br/061303451232,,br/06603312083,br/06603312083
br/061303451232,,br/06101953711,br/06101953711
br/061303451234,,br/06201938583,br/06201938583
br/061303451234,,br/061703367589,br/061703367589
br/061303451234,,br/06903290683,br/06903290683
br/061303451234,,br/062503138940,br/062503138940
br/061303451234,,br/06203799646,br/06203799646
br/061303451234,,br/061403129478,br/061403129478
br/061303451234,,br/062503231131,br/062503231131
br/061303451234,,br/062503138962,br/062503138962
br/06701123960,,br/06802910324,br/06802910324
br/061702616974,,br/062302941692,br/062302941692
br/06250191403,,br/06902915629,br/06902915629
br/06250191403,,br/061503151422,br/061503151422
br/06250191403,,br/06202880892,br/06202880892
br/06140361036,,br/061502990120,br/061502990120
br/06140361036,,br/06103645430,br/06103645430
br/06140361036,,br/06203799757,br/06203799757
br/06140361036,,br/06101953427,br/06101953427
br/06140361036,,br/061502990209,br/061502990209
br/06140361036,,br/06803303253,br/06803303253
br/06110981524,,br/0630184132,br/0630184132
br/06702327609,,br/06301896137,br/06301896137
br/061702616827,,br/06803303263,br/06803303263
br/061702616827,,br/06101953708,br/06101953708
br/061503338817,,br/06202880964,br/06202880964
br/06301507117,,br/0630184075,br/0630184075
br/0620236632,,br/06903290472,br/06903290472
br/06503881924,,br/06102894846,br/06102894846
br/06602605146,,br/06201938904,br/06201938904
br/062603478819,,br/06802909931,br/06802909931
br/061103553655,,br/061702498405,br/061702498405
br/06903575854,,br/06803303336,br/06803303336
br/06403971380,,br/06903290362,br/06903290362
br/06103951022,,br/06202880203,br/06202880203
br/06803909115,,br/062102462231,br/062102462231
br/06703938827,,br/06603312066,br/06603312066
br/06603949011,,br/061302885104,br/061302885104
br/06503983379,,br/06803302811,br/06803302811
br/06303941224,,br/062503170576,br/062503170576
br/06303941224,,br/06101953783,br/06101953783
br/061503537198,,br/062503138628,br/062503138628
br/061403530465,,br/06103645997,br/06103645997
br/062603523335,,br/06103646050,br/06103646050
br/06903575856,,br/062503170974,br/062503170974
br/061503562400,,br/062503138565,br/062503138565
br/062603523333,,br/06603312047,br/06603312047
br/062603523333,,br/061303331587,br/061303331587
br/062603523333,,br/06603312034,br/06603312034
br/062603523333,,br/061403129086,br/061403129086
br/062503510462,,br/061502990212,br/061502990212
br/062503510462,,br/06903016127,br/06903016127
br/06903556667,,br/061502990553,br/061502990553
br/06903556667,,br/061903537833,br/061903537833
br/06903556667,,br/06202880744,br/06202880744
br/06903556667,,br/0630184120,br/0630184120
br/06903556667,,br/0620182242,br/0620182242
br/06903556667,,br/061903537831,br/061903537831
br/06703964114,,br/061702498571,br/061702498571
br/062503528676,,br/061202495257,br/061202495257
